,track_id,track_name,artist_name,artist_id,track_popularity,album_name,album_id,track_length,release_date,playlist_id,playlist_name,genre
1180,1ODRbz1jZsSrTkpTVcYElX,The Hardest Part,Alexander 23,6sFHvCyqklnJpXC9Nh1aag,56,Aftershock,7wAw42D9HsIAFRy47jo4Vw,3.39,2022-07-15,37i9dQZF1DWSqBruwoIXkA,sad hour,Pop
1181,22UYp7aAy1XmIYZ1GsnJuB,Part Of Me,Cian Ducrot,49jTY62Cpw3RYo4dLuG43W,71,Part Of Me,5ELHOuo4BjMkzirsbyQnsv,3.37,2023-03-31,37i9dQZF1DWSqBruwoIXkA,sad hour,Pop
1182,2BN5ZMErVAhbEroB99b3no,LET THE GRASS GROW,Ruel,5xkAtLTf309LAGZTbvULBn,58,LET THE GRASS GROW,160bnYxuf2qbEscs8B4QOu,2.93,2022-03-11,37i9dQZF1DWSqBruwoIXkA,sad hour,Pop
1183,7kt9e9LFSpN1zQtYEl19o1,this is me trying,Taylor Swift,06HL4z0CvFAxyc27GXpf02,78,folklore,2fenSS68JI1h4Fo296JfGr,3.25,2020-07-24,37i9dQZF1DWSqBruwoIXkA,sad hour,Pop
1184,4tI1u9uQXYLnswRzcysxDo,"life, i'm over you",Zevia,6z9k3E8sR90LH0N4zyOxUu,60,we're all sad here,1twRDbvHKiuFTLeAKfMbH4,3.39,2022-02-11,37i9dQZF1DWSqBruwoIXkA,sad hour,Pop
1185,0n7G59orkm7Sh7rvOXAopY,Bodybag,Charlotte Lawrence,7LImGq5KnzQobZciDJpeJb,56,Bodybag,2es7bY8oRAtSLFTdbr7A2l,3.56,2023-03-31,37i9dQZF1DWSqBruwoIXkA,sad hour,Pop
1186,1ZMiCix7XSAbfAJlEZWMCp,Falling,Harry Styles,6KImCVD70vtIoJWnq6nGn3,85,Fine Line,7xV2TzoaVc0ycW7fwBwAml,4.0,2019-12-13,37i9dQZF1DWSqBruwoIXkA,sad hour,Pop
1187,7dDrR6vMK1JAwZZ5MIWgme,birthday cake,Dylan Conrique,2S054G7qnCK45KY0XzpX30,74,birthday cake,6Z2I7RVroN2B24d7mms0tT,3.42,2022-02-02,37i9dQZF1DWSqBruwoIXkA,sad hour,Pop
1188,4hVTfI6ZXLt0BAeTZhAalr,Better Version (feat. Kelsea Ballerini),FLETCHER,5qa31A9HySw3T7MKWI9bGg,62,Girl Of My Dreams (Deluxe),5KbQGzcWL7VgTeLqjftNWH,2.9,2022-11-18,37i9dQZF1DWSqBruwoIXkA,sad hour,Pop
1189,2VFetGqLYq0Pc8ZtRYCaeL,In The Kitchen,Reneé Rapp,2hUYKu1x0UZQXvzCmggvSn,69,Everything To Everyone,4Kk5hoolfW8UN6cTSo5fXJ,3.8,2022-11-11,37i9dQZF1DWSqBruwoIXkA,sad hour,Pop
1190,21szgNA72iLwvBxHQLgwBh,die first,Nessa Barrett,7pwufEBGfggjoI8twqlsmQ,70,die first,56raLTkxER12w8xejGTpSG,2.95,2022-06-24,37i9dQZF1DWSqBruwoIXkA,sad hour,Pop
1191,7D0RhFcb3CrfPuTJ0obrod,Sparks,Coldplay,4gzpq5DPGxSnKTe4SA8HAU,87,Parachutes,6ZG5lRT77aJ3btmArcykra,3.78,2000-07-10,37i9dQZF1DWSqBruwoIXkA,sad hour,Pop
1192,5pSueoHUFxwBiLebqpcGUU,Miss Me The Same (with Anson Seabra),Sara Kays,7Lk9V7E1u5gqSHmtcKlOqH,63,Miss Me The Same (with Anson Seabra),6trwAd4aAcGduTeXvuVwN3,3.62,2023-04-28,37i9dQZF1DWSqBruwoIXkA,sad hour,Pop
1193,3GYlZ7tbxLOxe6ewMNVTkw,TV,Billie Eilish,6qqNVTkY8uBg9cP3Jd7DAH,87,Guitar Songs,1YPWxMpQEC8kcOuefgXbhj,4.69,2022-07-21,37i9dQZF1DWSqBruwoIXkA,sad hour,Pop
1194,06SnkMUvEOai4zY9lGvuky,almost happy,elijah woods,3IR6DvP0x2a6oUSist9UMu,61,almost happy,3IISfQ5BRf3a5wNRf7CX0K,2.3,2022-11-18,37i9dQZF1DWSqBruwoIXkA,sad hour,Pop
1195,56OcHDP7SgOY8hf4glCEDH,i wish u knew,vaultboy,0K87f3owemzI8NUCoEIXOB,57,i wish u knew,4REQNLInKvPQtTVec1cLll,3.22,2022-09-23,37i9dQZF1DWSqBruwoIXkA,sad hour,Pop
1196,5rKMN0bKdqcGWo1iLvv30Y,Best Friend Breakup,Lauren Spencer Smith,79AyR6ATpj2LTPxfb6FX50,70,Best Friend Breakup,6mF1bVrioCxksnRBHUN7Ej,2.35,2023-02-10,37i9dQZF1DWSqBruwoIXkA,sad hour,Pop
1197,42NmFnYg5iTlRxgfa54Q7K,Who I Am Without You,BLÜ EYES,2gI1WfmpFmmgSRojy4Jup2,47,Who I Am Without You,5jFzlHcWzlQR0Q3kHvO1ax,2.54,2023-03-17,37i9dQZF1DWSqBruwoIXkA,sad hour,Pop
1198,7AYP21Q4qnxw2WxETEvSRb,Memories,Conan Gray,4Uc8Dsxct0oMqx0P6i60ea,71,Memories,2W5QlcRZ0zCwFk3pSK6PZd,4.15,2022-04-15,37i9dQZF1DWSqBruwoIXkA,sad hour,Pop
1199,5CZ40GBx1sQ9agT82CLQCT,traitor,Olivia Rodrigo,1McMsnEElThX1knmY4oliG,88,SOUR,6s84u2TUpR3wdUv4NgKA2j,3.82,2021-05-21,37i9dQZF1DWSqBruwoIXkA,sad hour,Pop
1200,2RnBxdoRGOBzy2yvThWtMe,LET EM GO,Matt Hansen,6wlhqnATSJIc0NQ64VxOVJ,72,LET EM GO,38ZOCVj7a6GRwhcNerWZs3,3.02,2023-01-13,37i9dQZF1DWSqBruwoIXkA,sad hour,Pop
1201,0QZ5yyl6B6utIWkxeBDxQN,The Night We Met,Lord Huron,6ltzsmQQbmdoHHbLZ4ZN25,80,Strange Trails,3yoNZlqerJnsnMN5EDwwBS,3.47,2015-04-07,37i9dQZF1DWSqBruwoIXkA,sad hour,Pop
1202,1UHATOi2uLeTk3UHKBwR30,if depression gets the best of me,Zevia,6z9k3E8sR90LH0N4zyOxUu,57,if depression gets the best of me,71jFeLyVXVUllf7sMI6mVE,3.0,2021-10-22,37i9dQZF1DWSqBruwoIXkA,sad hour,Pop
1203,5GVUjnTpU0IOwNzAIhSqRI,A Letter To Everyone Who's Hurt Me,Chandler Leighton,5zUeHMatct7zGjyIji9T4C,55,A Letter To Everyone Who's Hurt Me,7bJgNbxck1IXbT243gl8mz,3.8,2023-01-20,37i9dQZF1DWSqBruwoIXkA,sad hour,Pop
1204,3yMC1KsTwh0ceXdIe4QQAQ,Fingers Crossed,Lauren Spencer Smith,79AyR6ATpj2LTPxfb6FX50,80,Fingers Crossed,7i5dqey54xo8F2flVer0yY,2.92,2022-01-05,37i9dQZF1DWSqBruwoIXkA,sad hour,Pop
1205,4d2ZJ9W7dkQuITwUCTuD5n,never knew a heart could break itself,Zach Hood,5aHlyw2WWqZW0HLICBuv7U,66,never knew a heart could break itself,7nRAoFQVg6Sv2Qm31Vgup6,2.59,2022-03-18,37i9dQZF1DWSqBruwoIXkA,sad hour,Pop
1206,1C0Uqh9cRMLPw9WpZzL4Z1,Eyes Closed - Piano Version,Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,67,Eyes Closed (Piano Version),6dhAJ4oigNFSv4paZnZHmW,3.24,2023-03-23,37i9dQZF1DWSqBruwoIXkA,sad hour,Pop
